id,character_name,parallel,country_id,team,faction,title,age,gender,is_head_of_state,is_military_chief,parliament_seat,personal_coins,personal_coins_notes,expansion_role,ai_candidate,brief_file,intelligence_pool,powers,objectives,ticking_clock,sabotage_cards,cyber_cards,disinfo_cards,election_meddling_cards,assassination_cards,protest_stim_cards,fatherland_appeal,is_diplomat
furnace,Furnace,Iranian Supreme Leader,persia,Persia,Hardline,Supreme Leader of Persia,45,M,true,false,0,3,,false,false,role_briefs/FURNACE.md,4,supreme_authority;nuclear_decision;override_2of3;ideological_direction,nuclear_weapon;independent_authority;regime_survival,Mojtaba Khamenei parallel. Installed by IRGC. May be hiding/injured. Override costs -5 support -1 stability each use.,0,0,1,0,1,0,1,false
anvil,Anvil,IRGC Commander,persia,Persia,Military,Commander of Revolutionary Guard,58,M,false,true,0,2,2 coins representing IRGC economic empire partially frozen,false,false,role_briefs/ANVIL.md,3,military_operations;business_empire;kingmaker;veto_military;pragmatic_deal,irgc_survival;business_protection;power_broker,IRGC controls 1/3 of economy. 2 personal coins = IRGC institutional wealth. Sanctions relief = personal profit. Can veto military orders with 1-round delay.,2,1,1,0,1,0,0,false
dawn,Dawn,Iranian Reformist,persia,Persia,Reform,Reformist Leader,45,F,false,false,0,1,,false,false,role_briefs/DAWN.md,1,public_appeal;western_contact;reform_proposal;diplomatic_credibility,engagement;sanctions_relief;represent_youth,Represents 60% under 30. Deals with Dawn as signatory get +20% credibility. Activates when stability < 4 or support < 30%.,0,0,0,0,0,1,0,false
scales,Scales,Indian PM,bharata,Bharata,National,Prime Minister of Bharata,75,M,true,false,0,3,,false,true,role_briefs/SCALES.md,4,non_alignment;play_all_sides;nuclear_authority;trade_policy;brics_host,strategic_autonomy;economic_growth;multi_alignment,2026 BRICS+ host. Multi-alignment doctrine. Everyone needs something from Bharata. Refused to take position on Iran war.,1,1,1,1,0,0,1,true
citadel,Citadel,Israeli PM,levantia,Levantia,National,Prime Minister of Levantia,76,M,true,true,0,3,,false,true,role_briefs/CITADEL.md,4,military_authority;unilateral_action;nuclear_ambiguity;regional_operations;multi_front_war,regional_dominance;destroy_persia_threat;columbia_alliance,Multi-front war: Persia + Lebanon + Gaza. Operation Rising Lion. Densest air defense in world. Undeclared nuclear L1.,2,2,1,1,2,0,1,true
chip,Chip,Taiwanese President,formosa,Formosa,National,President of Formosa,60,F,true,false,0,2,,false,true,role_briefs/CHIP.md,4,semiconductor_leverage;defense_policy;diplomatic_status;porcupine_strategy,survival;semiconductor_shield;columbia_protection,KMT legislature blocking defense budget. $40B defense plan cut 70%. Silicon shield eroding as fabs built abroad.,0,1,0,0,0,0,1,true
vizier,Vizier,Turkish President,phrygia,Phrygia,National,President of Phrygia,70,M,true,true,0,3,,false,true,role_briefs/VIZIER.md,4,bosphorus_control;nato_veto;play_all_sides;arms_deals;nato_summit_host,maximum_leverage;bosphorus_control;hedge_everyone,2026 NATO summit host. Controls Bosphorus and Dardanelles. NATO member + BRICS+ observer. S-400 buyer.,1,1,1,1,0,0,1,true
sakura,Sakura,Japanese PM,yamato,Yamato,National,Prime Minister of Yamato,55,F,true,false,0,3,,false,true,role_briefs/SAKURA.md,4,remilitarization;pacific_alliance;nuclear_debate;trade_policy;latent_nuclear,pacific_security;remilitarization;columbia_alliance,First female PM. Record defense budget $57.8B. 2% GDP achieved early. Latent nuclear capability. Rapidus 2nm chip project.,0,1,0,0,0,0,1,true
wellspring,Wellspring,Saudi Crown Prince,solaria,Solaria,National,Crown Prince of Solaria,40,M,true,false,0,5,,false,true,role_briefs/WELLSPRING.md,4,oil_production;opec_leadership;arms_deals;hedging;nuclear_threat,oil_pricing_power;vision_2030;infrastructure_defense,Under active Persia missile attack. Ras Tanura refinery damaged. $16.5B arms package from Columbia. Will go nuclear if Persia does.,1,1,1,1,1,0,1,true
pyro,Pyro,North Korean Leader,choson,Choson,National,Supreme Leader of Choson,42,M,true,true,0,1,,false,true,role_briefs/PYRO.md,4,nuclear_provocation;arms_sales;troop_deployment;unpredictable_action;patron_manipulation,regime_survival;nuclear_leverage;blood_for_technology,15000+ troops in Ruthenia. 6000+ casualties. Blood-for-technology with Sarmatia. Crisis on demand capability.,1,0,1,0,1,0,1,true
vanguard,Vanguard,South Korean President,hanguk,Hanguk,National,President of Hanguk,55,M,true,false,0,2,,false,true,role_briefs/VANGUARD.md,4,defense_policy;trade_policy;semiconductor_competition;maximum_flexibility,national_security;economic_stability;balance_columbia_cathay,Post-martial-law recovery. Maximum flexibility doctrine. Security with Columbia economy with Cathay. Samsung/SK Hynix leverage.,0,1,0,0,0,0,1,true
havana,Havana,Cuban/Venezuelan Leader,caribe,Caribe,National,Leader of Caribe,65,M,true,false,0,1,,false,true,role_briefs/HAVANA.md,4,resistance;foreign_patron;monroe_doctrine_trigger;survival_diplomacy,regime_survival;break_blockade;find_patrons,Under Columbia energy blockade. Nationwide blackout March 2026. Can invite Sarmatia/Cathay military assets to trigger Monroe Doctrine crisis.,0,0,1,0,0,0,1,true
spire,Spire,UAE Ruler,mirage,Mirage,National,Ruler of Mirage,52,M,true,false,0,4,,false,true,role_briefs/SPIRE.md,4,financial_hub;sanctions_routing;back_channel_venue;arms_deals;hedging,financial_power;connect_everyone;pragmatic_hedging,357 ballistic missiles + 1815 drones launched at UAE. Financial intermediary: +20% sanctions effectiveness when cooperating or +20% evasion when enabling.,0,1,0,0,0,0,1,true
